Name,Arp,RA,Dec,Diam
NGC 2857,1,141.1575,49.3567,5.2
UGC 10310,2,244.075,47.0467,3.5
MCG-01-57-016,3,339.1425,-2.905,5.2
MCG-02-05-50+A,4,27.1075,-12.3817,3.5
NGC 3664,5,171.1025,3.3267,2.6
NGC 2537,6,123.31,45.9917,2.6
MCG-03-23-009,7,132.5725,-16.5767,2.6
NGC 0497,8,20.5975,-0.875,3.5
NGC 2523,9,123.7475,73.58,3.5
UGC 01775,10,34.61,5.6533,2.6
UGC 00717,11,17.3475,14.3367,5.2
NGC 2608,12,128.8225,28.4733,3.5
NGC 7448,13,345.01,15.99,2.6
NGC 7314,14,338.94,-26.05,5.2
NGC 7393,15,342.915,-5.5583,2.6
MESSIER 66,16,170.0625,12.9883,10.4
UGC 03972,17,116.1375,73.83,2.1
NGC 4088,18,181.3975,50.5417,5.2
NGC 0145,19,7.9375,-5.1533,2.6
UGC 03014,20,64.975,2.095,2.1
CGCG 155-056,21,166.245,30.0267,2.1
NGC 4027,22,179.8775,-19.2633,10.4
NGC 4618,23,190.385,41.15,20.8
NGC 3445,24,163.6525,56.99,3.5
NGC 2276,25,111.805,85.755,5.2
MESSIER 101,26,210.8025,54.35,32.4
NGC 3631,27,170.26,53.1717,5.2
NGC 7678,28,352.115,22.4217,2.6
NGC 6946,29,308.7175,60.1533,20.8
NGC 6365A + B,30,260.68,62.1733,2.6
IC 0167,31,27.785,21.9133,3.5
UGC 10770,32,258.2825,59.3233,2.1
UGC 08613,33,204.35,6.4367,3.5
NGC 4615+13+14,34,190.405,26.0717,5.2
UGC 00212 +comp,35,5.595,-1.3033,5.2
UGC 08548,36,203.5625,31.425,2.6
MESSIER 77,37,40.67,0.0133,3.5
NGC 6412,38,262.4,75.705,3.5
NGC 1347,39,52.425,-22.2783,3.5
IC 4271,40,202.335,37.4083,2.1
NGC 1232 + A,41,47.44,-20.5783,10.4
NGC 5829+IC4526,42,225.675,23.3317,3.5
IC 0607,43,156.065,16.7433,2.6
IC 0609,44,156.3875,-2.2217,3.5
UGC 09178,45,214.9625,51.905,2.6
UGC 12665,46,353.4225,30.0433,2.1
CGCG 105-026,47,221.8025,18.8583,2.6
CGCG 436-026,48,19.985,12.345,2.1
NGC 5665,49,218.1075,8.08,2.6
IC 1520,50,359.4925,-14.03,2.1
MCG-02-01-24,51,1.57,-13.4483,2.1
CGCG 421-027,52,79.9325,3.7167,2.1
NGC 3290,53,158.8225,-17.275,2.6
MCG-01-07-007,54,36.0075,-4.6933,2.6
UGC 04881,55,138.9825,44.3317,2.6
UGC 01432,56,29.3575,17.2167,2.1
