Name,Arp,RA,Dec,Diam
UGC 10310,2,244.075,47.0467,3.5
MCG-02-05-50+A,4,27.1075,-12.3817,3.5
NGC 3664,5,171.1025,3.3267,2.6
NGC 2537,6,123.31,45.9917,2.6
MCG-03-23-009,7,132.5725,-16.5767,2.6
NGC 0497,8,20.5975,-0.875,3.5
NGC 2523,9,123.7475,73.58,3.5
UGC 01775,10,34.61,5.6533,2.6
NGC 2608,12,128.8225,28.4733,3.5
NGC 7448,13,345.01,15.99,2.6
NGC 7393,15,342.915,-5.5583,2.6
UGC 03972,17,116.1375,73.83,2.1
NGC 0145,19,7.9375,-5.1533,2.6
UGC 03014,20,64.975,2.095,2.1
CGCG 155-056,21,166.245,30.0267,2.1
NGC 3445,24,163.6525,56.99,3.5
NGC 7678,28,352.115,22.4217,2.6
NGC 6365A + B,30,260.68,62.1733,2.6
IC 0167,31,27.785,21.9133,3.5
UGC 10770,32,258.2825,59.3233,2.1
UGC 08613,33,204.35,6.4367,3.5
UGC 08548,36,203.5625,31.425,2.6
MESSIER 77,37,40.67,0.0133,3.5
NGC 6412,38,262.4,75.705,3.5
NGC 1347,39,52.425,-22.2783,3.5
IC 4271,40,202.335,37.4083,2.1
NGC 5829+IC4526,42,225.675,23.3317,3.5
IC 0607,43,156.065,16.7433,2.6
IC 0609,44,156.3875,-2.2217,3.5
UGC 09178,45,214.9625,51.905,2.6
UGC 12665,46,353.4225,30.0433,2.1
CGCG 105-026,47,221.8025,18.8583,2.6
CGCG 436-026,48,19.985,12.345,2.1
NGC 5665,49,218.1075,8.08,2.6
IC 1520,50,359.4925,-14.03,2.1
MCG-02-01-24,51,1.57,-13.4483,2.1
CGCG 421-027,52,79.9325,3.7167,2.1
NGC 3290,53,158.8225,-17.275,2.6
MCG-01-07-007,54,36.0075,-4.6933,2.6
UGC 04881,55,138.9825,44.3317,2.6
UGC 01432,56,29.3575,17.2167,2.1
MCG+03-34-012,57,199.1675,14.4367,2.6
UGC 04457,58,127.9925,19.2133,2.6
NGC 0341,59,15.19,-9.185,2.6
ARP 060,60,198.6975,26.085,2.1
UGC 03104,61,69.175,-2.2867,2.1
UGC 06865,62,178.4,43.455,2.1
NGC 2944,63,144.82,32.31,2.1
UGC 09503,64,221.3575,19.465,2.6
UGC 10396,66,246.72,51.555,2.6
UGC 00892,67,20.32,-0.545,2.6
NGC 7757(56?),68,357.1875,4.1733,3.5
NGC 5579 + 80,69,215.11,35.1883,2.6
UGC 00934,70,20.8675,30.785,2.6
NGC 6045,71,241.2825,17.7567,2.1
NGC 5994 + 96,72,236.7225,17.8717,3.5
IC 1222,73,248.7875,46.2133,2.6
UGC 01626,74,32.09,41.48,2.6
NGC 0702,75,27.8275,-4.055,3.5
NGC 5490C,79,212.53,17.615,2.1
NGC 2633,80,132.0275,74.1,3.5
NGC 6621 + 22,81,273.2275,68.3633,2.6
NGC 3800 + 3799,83,175.055,15.3433,3.5
NGC 3808 + A,87,175.185,22.4283,3.5
VV 445,88,19.7725,12.4783,2.1
NGC 5930 + 29,90,231.5325,41.675,2.6
NGC 5953 + 54,91,233.635,15.195,2.6
NGC 7603 + comp,92,349.735,0.2433,2.6
IC 4461 + 62,95,218.7575,26.5433,2.6
UGC 03528A,96,105.7525,86.6033,3.5
UGC 07085A,97,181.44,31.06,2.6
UGC 01095 +comp,98,23.07,32.09,2.6
UGC 10586,103,252.3575,45.4583,3.5
NGC 4211 + A,106,183.9,28.1767,2.6
UGC 05984,107,163.0775,30.0667,3.5
ESO 547-G002&3,108,45.7725,-22.2167,2.6
UGC 10053,109,237.0325,69.4583,3.5
MCG-03-58-011,110,343.5375,-15.2367,2.1
NGC 5421,111,210.42,33.8283,2.6
NGC 7805 + 06,112,0.3625,31.4333,3.5
UGC 06678,115,175.7625,26.2767,2.6
NGC 1144 + 43,118,43.7975,0.1767,2.1
UGC 00849,119,19.85,12.4467,2.6
MCG-01-03-051,121,14.8475,-4.8033,2.6
NGC 6040A + B,122,241.1125,17.75,2.6
NGC 1888 + 89,123,80.635,-11.495,3.5
NGC 6361,124,259.67,60.6067,3.5
UGC 10491,125,249.5575,41.93,2.1
UGC 01449,126,29.5225,3.1,2.6
NGC 0191,127,9.7475,-9.0017,2.6
UGC 00827,128,19.3525,14.6967,2.1
UGC 05146,129,144.8525,32.3617,2.1
IC 5378,130,0.6575,16.6433,2.6
MCG-03-08-25,131,41.825,-14.8017,2.6
CGCG 011-053,132,169.8375,-3.09,2.1
NGC 0541,133,21.435,-1.38,2.6
NGC 5820,136,224.6675,53.8867,3.5
NGC 2914,137,143.5125,10.1083,2.1
NGC 4015,138,179.6775,25.0367,2.1
MCG+05-31-135,139,196.85,26.7183,2.1
NGC 0275 + 74,140,12.77,-7.0633,2.6
UGC 03730,141,108.5875,73.48,2.6
NGC 2936 + 37,142,144.435,2.76,3.5
NGC 2444,143,116.72,39.0317,3.5
NGC 7828,144,1.6125,-13.4167,2.6
ARP 145,145,35.7825,41.37,2.6
VV 790,146,1.685,-6.6367,2.1
IC 029  8,147,47.8275,1.3133,2.1
MCG+07-23-019,148,166.0,40.8467,2.1
IC 0803,149,189.9275,16.5917,2.1
NGC 7609,150,349.875,9.5083,2.1
MRK 0040,151,171.4,54.3817,2.1
MESSIER 87,152,187.705,12.3917,2.6
NGC 3656,155,170.91,53.8417,2.6
UGC 05814,156,160.6575,77.495,2.6
NGC 0523,158,21.3325,34.025,3.5
NGC 4194,160,183.5425,54.5283,3.5
UGC 06665,161,175.5525,0.3333,2.6
NGC 3414,162,162.8175,27.975,3.5
NGC 4670,163,191.32,27.125,2.1
NGC 0455,164,18.9875,5.1783,3.5
NGC 2418,165,114.1575,17.885,3.5
NGC 0750 + 51,166,29.385,33.21,3.5
NGC 2672,167,132.3425,19.075,2.6
NGC 7236 + 37,169,333.6875,13.8467,3.5
NGC 7578A + B,170,349.3,18.7,3.5
NGC 5718,171,220.18,3.4533,2.6
IC 1178,172,241.3875,17.6017,3.5
UGC 09561,173,222.86,9.3283,3.5
NGC 4933A + B,176,195.9775,-11.5067,3.5
MCG+04-35-017,177,223.9525,24.5983,2.1
NGC 5613,178,216.025,34.8917,3.5
NPM1G -04.0134,179,45.42,-4.6717,2.1
MCG-01-13-034,180,73.3425,-4.8017,2.6
NGC 3212,181,157.07,79.8233,3.5
NGC 7674,182,351.9875,8.7783,3.5
UGC 08560,183,203.73,31.3917,3.5
NGC 1614,186,68.5,-8.5783,2.6
MCG-02-13-040A,187,76.22,-10.2483,2.1
UGC 06175,191,166.835,18.4317,2.6
NGC 3303,192,159.2475,18.1367,3.5
IC 0883,193,200.1475,34.1383,2.6
UGC 06945,194,179.47,36.3883,2.6
UGC 04653,195,133.46,35.1433,2.6
Herzog 21,196,198.6575,26.1233,2.1
IC 0701,197,172.7525,20.47,2.6
UGC 06073,198,164.94,17.6483,2.6
NGC 5544 + 45,199,214.26,36.5717,2.1
NGC 1134,200,43.4225,13.015,3.5
UGC 00224,201,5.89,-0.49,2.1
NGC 2719 + A,202,135.065,35.7267,3.5
NGC 3712,203,172.7875,28.5667,3.5
UGC 08454,204,200.7075,84.5067,2.6
UGC 05050,207,142.7775,76.465,2.1
MCG+08-31-010,208,252.7625,47.22,2.6
NGC 6052,209,241.3025,20.5417,2.1
NGC 1569,210,67.705,64.8483,3.5
MCG+07-26-034,211,189.33,38.725,2.1
NGC 7625,212,350.125,17.225,2.6
CGCG 107-052,218,238.385,18.6033,2.1
UGC 02812,219,54.925,-2.1133,2.1
IC 4553,220,233.7375,23.505,2.6
MCG-02-25-006,221,144.1,-11.3283,2.6
NGC 7585,223,349.51,-4.6483,3.5
IC 0162,228,27.2225,10.5217,2.6
IC 0051,230,11.6,-13.4417,3.5
NGC 2911,232,143.445,10.1517,2.1
UGC 05720,233,158.1325,54.4,2.6
NGC 3738,234,173.9525,54.525,3.5
NGC 0014,235,2.1925,15.815,3.5
UGC 05044,237,141.9325,12.2867,2.6
UGC 08335,238,198.8725,62.1283,2.6
NGC 5278 + 79,239,205.415,55.6683,4.2
NGC 5257 + 58,240,204.97,0.84,4.2
UGC 09425,241,219.4625,30.4817,2.1
NGC 2623,243,129.6,25.755,2.6
NGC 7838,246,1.725,8.35,2.1
IC 2338 + 39,247,125.885,21.3383,2.6
UGC 12891,249,0.08,22.99,2.1
IRAS F07327+3529,250,114.0,35.375,2.1
VV 674,251,13.445,-13.8617,2.1
ESO 566-IG007,252,146.2425,-19.725,2.6
UGCA 173 + 174,253,145.8525,-5.28,3.5
UGC 05304,255,148.2875,7.88,2.6
MCG-02-01-52,256,4.7075,-10.3617,2.6
UGC 04638,257,132.91,-2.3667,2.6
UGC 02140,258,39.77,18.3933,3.5
NGC 1741,259,75.4075,-4.2583,3.5
UGC 07230,260,183.4125,16.1217,2.6
UGC 12856,262,359.1875,16.8117,2.6
NGC 3104,264,150.99,40.7567,3.5
IC 3862,265,193.4725,36.0867,2.1
NGC 4861,266,194.7575,34.86,3.5
UGC 05764,267,159.1775,31.5467,2.6
NGC 3395 + 96,270,162.4575,32.98,3.5
NGC 6054,272,241.3775,17.7683,2.1
UGC 01810 + 13,273,35.37,39.375,3.5
NGC 5679A +B+C,274,218.775,5.3483,2.6
NGC 2881,275,141.48,-11.9833,2.1
NGC 0935+IC1801,276,37.045,19.6,2.6
NGC 4809 + 10,277,193.7125,2.6533,2.1
NGC 7253A + B,278,334.86,29.3983,2.6
NGC 3769 + A,280,174.435,47.8917,3.5
NGC 0169,282,9.2175,23.9917,3.5
NGC 2798 + 99,283,139.345,42.0,3.5
NGC 2735 + A,287,135.66,25.935,2.6
IC 0195 + 196,290,30.935,14.7083,3.5
UGC 05832,291,160.7025,13.46,2.6
IC 0575,292,148.6375,-6.8567,2.6
NGC 6286,293,254.63,58.9367,3.5
MCG+10-17-5,296,172.0825,58.5417,3.5
NGC 7469,298,345.815,8.8733,3.5
NGC 3690,299,172.14,58.5633,3.5
UGC 05029,300,142.01,68.4217,3.5
UGC 06204,301,167.465,24.2617,2.6
UGC 09618,302,224.255,24.6167,2.6
IC 0563 + 64,303,146.585,3.045,3.5
NGC 1241 + 42,304,47.8125,-8.9217,3.5
NGC 2872 + 74,307,141.4275,11.4317,3.5
NGC 0545 + 47,308,21.4975,-1.34,2.6
NGC 0942 + 43,309,37.2925,-10.8367,3.5
IC 1259,310,261.855,58.5167,2.1
MCG+08-31-004,312,252.4525,46.7183,2.6
NGC 2832,315,139.945,33.75,2.6
MCG-01-25-009,321,144.7225,-4.86,2.6
UGC 06527,322,173.1675,52.95,2.6
NGC 7783,323,358.5425,0.3833,3.5
ESO 601-G018,325,331.6,-21.0783,2.1
NGC 1875,327,80.4425,6.6883,2.6
UGC 06514,329,173.03,70.815,2.6
UGC 08498,334,202.6075,31.62,3.5
NGC 3509,335,166.1,4.83,2.6
Arp 338,338,152.7475,-7.915,2.1
,0000-545,0.8206,-54.5565,3.6
,0001-531,1.0236,-52.9165,2.5
,0001-454,1.1325,-45.4482,4.5
,0002-510,1.2725,-50.8282,4.3
,0002-503,1.3596,-50.2682,2.8
,0003-362,1.4948,-36.1366,4.0
,0004-665,1.7577,-66.5549,3.1
,0005-393,1.9218,-39.2933,3.9
,0005-301,2.0899,-29.915,2.5
,0006-340,2.143,-33.86,2.5
,0006-311,2.1852,-31.0434,2.2
,0006-373,2.2419,-37.3317,2.1
,0006-373,2.2792,-37.3584,2.1
,0009-272,3.0588,-27.1952,2.3
,0011-335,3.4513,-33.587,3.1
,0011-232,3.5215,-23.1787,4.3
,0011-382,3.6113,-38.2087,3.1
,0012-603,3.6784,-60.332,2.2
,0012-242,3.7332,-24.0904,4.0
,0012-392,3.8724,-39.1237,4.0
,0013-394,4.005,-39.4421,3.6
,0013-562,4.0014,-56.0804,2.7
,0015-352,4.4016,-35.2039,4.0
,0015-571,4.6043,-56.954,4.0
,0016-310,4.678,-30.7323,3.4
,0016-270,4.7922,-26.7457,3.8
,0018-485,5.342,-48.6426,3.6
,0020-535,5.6097,-53.6427,2.7
,0027-370,7.5309,-36.8804,2.3
,0028-564,7.7774,-56.4506,4.0
,0029-664,7.9921,-66.404,2.9
,0031-381,8.5303,-37.8994,3.3
,0031-280,8.5653,-27.8078,4.0
,0031-380,8.5677,-37.8861,3.3
,0031-381,8.5843,-37.9278,3.3
,0032-301,8.6505,-30.0195,4.5
,0032-224,8.6946,-22.5012,2.7
,0033-253,8.9499,-25.3764,4.0
,0033-324,9.0178,-32.5447,4.0
,0033-325,9.0343,-32.5998,4.0
,0033-325,9.0468,-32.5764,4.0
,0033-325,9.0967,-32.5698,4.0
,0033-280,9.1139,-27.7865,3.9
,0034-280,9.1596,-27.7915,3.9
,0034-280,9.1721,-27.8182,3.9
,0034-283,9.2089,-28.3699,4.5
,0034-465,9.2778,-46.6449,4.0
,0035-252,9.4989,-25.0818,2.7
,0035-464,9.5143,-46.5184,4.0
,0036-243,9.641,-24.3419,4.2
,0036-243,9.6493,-24.2769,4.2
,0039-380,10.3527,-37.8575,2.7
,0039-380,10.3817,-37.8858,2.7
,0040-234,10.702,-23.5545,2.2
,0043-232,11.4425,-23.2135,4.5
,0045-483,11.8653,-48.2355,2.7
,0047-553,12.3352,-55.3693,2.7
,0048-313,12.6749,-31.3847,3.1
,0051-234,13.5876,-23.549,2.5
,0055-274,14.4467,-27.5033,2.5
,0100-321,15.5946,-31.9347,4.0
,0100-820,15.3469,-81.8113,2.7
,0101-401,15.911,-39.9118,3.6
,0102-391,16.3032,-38.9673,3.1
,0103-303,16.5239,-30.3976,4.9
,0103-304,16.5404,-30.4743,4.9
,0104-811,16.3584,-80.971,3.4
,0105-472,17.0412,-47.1317,3.6
,0106-472,17.0952,-47.0984,4.0
,0106-803,16.7539,-80.3065,2.8
,0106-403,17.1675,-40.3385,4.9
,0108-302,17.6504,-30.2225,2.2
,0110-240,18.2193,-23.8217,2.5
,0111-302,18.3692,-30.2269,2.7
,0111-303,18.4149,-30.2353,2.7
,0111-325,18.5304,-32.6522,2.1
,0111-323,18.5686,-32.2556,4.5
,0112-581,18.509,-57.9355,3.1
,0113-264,18.8921,-26.4461,3.4
,0113-324,18.9753,-32.4795,2.9
,0115-591,19.2933,-58.9134,2.9
,0115-310,19.5316,-30.7738,3.8
,0115-271,19.5436,-27.0021,4.5
,0116-372,19.5749,-37.1022,2.1
,0117-303,20.023,-30.2512,4.7
,0117-302,20.0648,-30.183,4.7
,0117-442,20.0447,-44.1313,2.7
,0118-230,20.3212,-22.8,2.2
,0119-555,20.4158,-55.7286,4.0
,0122-332,21.1422,-33.1731,3.1
,0123-685,21.213,-68.6184,2.2
,0123-403,21.5169,-40.3988,2.5
,0124-232,21.6386,-23.2273,4.9
,0124-225,21.7893,-22.7209,4.5
,0124-355,21.7714,-35.6126,4.5
,0125-583,21.7781,-58.3543,2.7
,0128-225,22.617,-22.6691,4.9
,0128-413,22.6098,-41.2974,3.3
,0130-312,23.0878,-31.0916,4.5
,0131-715,23.1679,-71.6703,4.4
,0131-364,23.4841,-36.4924,2.5
,0131-343,23.4985,-34.3891,2.9
,0131-392,23.4927,-39.0957,3.4
,0131-344,23.515,-34.4458,2.9
,0132-364,23.7125,-36.4895,2.5
,0132-364,23.7748,-36.4896,2.5
,0134-803,23.6478,-80.3149,3.6
,0135-624,24.271,-62.5374,2.4
,0135-330,24.4582,-32.9093,4.3
,0135-330,24.5373,-32.8544,4.3
,0136-401,24.6521,-40.0114,3.1
,0136-803,24.1282,-80.3509,3.6
,0137-281,25.0033,-28.0337,2.2
,0140-402,25.594,-40.115,2.8
,0140-402,25.5939,-40.16,2.8
,0141-462,25.8479,-46.2238,3.6
,0141-353,26.0503,-35.3159,3.8
,0142-435,26.2697,-43.5964,3.6
,0143-731,26.0455,-72.9195,2.7
,0143-781,25.98,-77.9579,4.5
,0143-553,26.4241,-55.4018,2.7
,0143-731,26.2111,-73.0315,4.9
,0145-270,26.981,-26.8912,3.1
,0145-530,26.9295,-52.7612,4.3
,0145-320,27.0414,-31.9114,3.6
,0147-280,27.4898,-27.809,3.6
,0147-323,27.5301,-32.4108,2.9
,0149-444,27.7639,-44.4547,4.5
,0151-624,28.2841,-62.4243,3.1
,0152-565,28.5263,-56.6848,4.4
,0154-441,29.181,-43.9696,4.5
,0155-580,29.4074,-57.7869,2.7
,0156-624,29.5735,-62.4257,2.5
,0156-623,29.5901,-62.4224,2.5
,0157-813,28.992,-81.4167,4.5
,0157-623,29.6604,-62.4175,2.5
,0158-783,29.6903,-78.3981,4.3
,0159-383,30.2801,-38.3039,3.8
,0159-383,30.3467,-38.2707,3.8
,0159-215,30.5676,-21.7579,3.0
,0200-601,30.616,-60.0065,4.5
,0202-522,31.1307,-52.1644,2.7
,0202-795,30.5296,-79.7086,2.5
,0203-795,30.639,-79.6639,2.5
,0203-325,31.4353,-32.6784,2.9
,0204-373,31.559,-37.332,2.2
,0205-540,31.7369,-53.7709,4.0
,0206-402,32.1785,-40.132,3.1
,0206-401,32.2202,-40.0937,3.1
,0208-522,32.4563,-52.2578,2.2
,0210-224,33.132,-22.4727,2.7
,0211-732,32.8924,-73.1626,2.3
,0211-472,33.239,-47.1414,4.5
,0212-250,33.7067,-24.8509,3.2
,0212-245,33.7824,-24.6011,2.2
,0213-220,33.9906,-21.9083,2.3
,0216-523,34.462,-52.3148,4.5
,0216-255,34.6477,-25.7568,4.3
,0221-332,35.8964,-33.2237,3.6
,0222-583,36.0908,-58.3927,2.2
,0224-243,36.5908,-24.2923,2.3
,0224-225,36.6422,-22.6441,3.6
,0224-233,36.6521,-23.4174,3.0
,0224-234,36.7102,-23.4443,3.0
,0224-231,36.7327,-22.951,4.5
,0227-430,37.3801,-42.808,4.5
,0227-545,37.3972,-54.7565,4.9
,0228-431,37.6114,-43.032,4.5
,0229-580,37.7852,-57.9127,2.2
,0234-594,38.9344,-59.5545,3.4
,0235-550,39.1658,-54.8635,2.3
,0237-611,39.6409,-60.9784,2.2
,0242-600,40.9624,-59.9408,2.5
,0242-590,41.0549,-58.8194,2.2
,0243-250,41.418,-24.8153,3.8
,0243-281,41.4055,-27.9619,2.2
,0243-250,41.4261,-24.8853,3.8
,0243-653,41.1725,-65.4066,3.6
,0244-263,41.5494,-26.3074,4.5
,0244-262,41.6245,-26.251,4.5
,0244-271,41.6465,-26.9744,3.1
,0244-253,41.6697,-25.3444,2.5
,0244-222,41.7982,-22.2115,3.8
,0245-222,41.8479,-22.2683,3.8
,0248-270,42.7862,-26.9497,2.2
,0249-271,42.8277,-26.9699,2.2
,0249-551,42.7169,-54.9748,2.6
,0252-303,43.6736,-30.4244,2.6
,0255-365,44.4536,-36.717,3.8
,0256-321,44.7012,-32.1012,4.3
,0258-743,44.525,-74.4582,4.0
,0300-401,45.5116,-39.994,3.7
,0300-230,45.6608,-22.8678,3.8
,0302-393,45.9843,-39.444,4.9
,0302-504,45.9101,-50.5489,2.9
,0302-370,46.0151,-36.9424,3.4
,0305-622,46.5481,-62.1997,4.5
,0307-411,47.4081,-41.0324,3.6
,0309-473,47.7123,-47.4185,2.5
,0309-473,47.7451,-47.477,3.1
,0309-473,47.7786,-47.4354,3.1
,0309-473,47.7867,-47.4588,3.1
,0309-473,47.7991,-47.4738,3.1
,0310-252,48.0557,-25.2029,4.0
,0310-244,48.0749,-24.618,4.0
,0310-244,48.1043,-24.5464,4.0
,0311-252,48.4177,-25.1859,3.6
,0311-582,48.2143,-58.1522,3.8
,0311-573,48.2661,-57.3424,3.6
,0313-293,48.7979,-29.3439,4.5
,0314-631,48.7415,-62.9909,4.3
,0315-510,49.1972,-50.9723,3.1
,0315-510,49.2183,-50.9324,3.1
,0315-411,49.3272,-41.111,4.0
,0316-301,49.5428,-30.0983,4.0
,0316-543,49.4244,-54.3799,4.0
,0316-260,49.6337,-25.837,4.0
,0317-323,49.8927,-32.4647,3.4
,0321-425,50.7294,-42.6762,3.6
,0321-424,50.7548,-42.603,3.6
,0321-810,49.6965,-80.9128,2.1
,0322-810,49.9273,-80.927,2.1
,0322-580,50.9951,-57.9058,4.3
,0323-420,51.25,-41.8932,2.7
,0323-363,51.3139,-36.3667,2.2
,0324-524,51.4311,-52.554,2.2
,0326-662,51.8115,-66.2892,2.4
,0327-432,52.3826,-43.3192,2.5
,0329-334,52.7848,-33.6206,4.3
,0331-360,53.4206,-35.8631,2.2
,0332-391,53.5092,-39.0168,4.5
,0332-305,53.5699,-30.732,2.2
,0332-421,53.5004,-42.1618,2.1
,0332-360,53.6743,-35.8624,4.9
,0332-250,53.7528,-24.936,4.5
,0333-360,53.9479,-35.9902,4.9
,0334-350,54.1203,-34.9775,4.4
,0335-252,54.288,-25.2747,2.8
,0335-244,54.3707,-24.5034,3.1
,0336-231,54.6191,-23.0277,3.6
,0336-353,54.6248,-35.4495,4.5
,0337-312,54.8479,-31.3187,4.5
,0337-390,54.8314,-38.982,2.2
,0338-354,55.0395,-35.6311,2.7
,0338-270,55.1207,-26.8597,4.9
,0339-235,55.3102,-23.8371,3.3
,0340-381,55.4945,-38.0313,4.9
,0340-420,55.522,-41.9148,2.2
,0341-360,55.9031,-35.8546,3.6
,0344-343,56.6481,-34.3859,4.5
,0344-370,56.645,-36.9243,4.5
,0345-335,56.7685,-33.7164,2.2
,0345-450,56.8291,-44.9051,2.2
,0346-801,55.9353,-80.1054,2.9
,0352-370,58.5742,-36.9722,2.2
,0354-442,59.0615,-44.3176,2.7
,0355-462,59.3739,-46.2123,4.5
,0356-443,59.584,-44.4665,3.6
,0357-463,59.6425,-46.3834,2.2
,0357-273,59.7743,-27.3754,2.5
,0357-463,59.6509,-46.3718,2.2
,0357-251,59.9023,-25.1809,4.3
,0357-594,59.6515,-59.5805,4.0
,0357-442,59.8889,-44.2844,2.4
,0357-442,59.8929,-44.3011,2.4
