Arp,Score,Notes,Unnamed: 1,ObjectName,Galactic Extinction,Object,cz,z,Basic-Data,Basic-Data.1,Galaxy Morphology,Activity Type,Kronap.AB,Kronap.AB.1,Kronap.AB.2,Kronap.AB.3,K_s_total,K_s_total.1,K_s_total.2,K_s_total.3,25micron,25micron.1,25micron.2,25micron.3,60micron,60micron.1,60micron.2,60micron.3,1.4GHz,1.4GHz.1,1.4GHz.2,1.4GHz.3,1.4GHz.4,1.4GHz.5,1.4GHz.6,1.4GHz.7,20.0K-magarcsec^-2,25.0B-magarcsec^-2,Unnamed: 40,Row2,RA,Dec
Arp-Madore0001-505,3,,ERROR: Input name not recognized by NED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134,1.1068,-50.6182
Arp-Madore0002-503,3,WFC3,,ESO 193- G 019,0.033,G,10377,,1.9,SB(r)c,SAB(rs)c? pec,,,,,,10.380,0.069,4.70E-28,3.08E-29,,,,,,,,,,,,,,,,,53.80,88.10,31,135,1.3596,-50.2682
Arp-Madore0003-362,3,distant but lots going on.,,ESO 349-IG 026,0.039,GTrpl,8657,,,,triple,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,136,1.4948,-36.1366
Arp-Madore0003-414,3,,,ESO 293-IG 034,0.046,G,1512,,3.2,SB(s)cd pec sp,SB(s)cd pec edge-on,,,,,,9.422,0.034,1.14E-27,3.61E-29,,,,,,,,,,,,,,,,,163.20,190.55,54,137,1.5852,-41.4966
Arp-Madore0004-413,3,,ERROR: Input name not recognized by NED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138,1.7761,-41.3566
Arp-Madore0004-413,3,,ERROR: Input name not recognized by NED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139,1.7761,-41.3566
Arp-Madore0004-413,3,,ERROR: Input name not recognized by NED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138,1.7844,-41.3583
Arp-Madore0004-413,3,,ERROR: Input name not recognized by NED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139,1.7844,-41.3583
Arp-Madore0005-301,3,,,NGC 0007,0.039,G,1495,,2.2,SB(s)c? sp,SB(s)c? edge-on,,,,,,,,,,,< 1.083E-01,,< 1.08E-27,2.747E-01,17%,2.75E-27,4.67E-28,,,,,,,,,,154.88,55,140,2.0899,-29.915
Arp-Madore0012-573,3,,,ESO 111- G 022,0.026,G,9796,,1.3,(R)SA(r)b,(R)SA(r)b?,,,,,,11.021,0.055,2.60E-28,1.35E-29,,,,,,,,,,,,,,,,,44.00,46.77,23,141,3.8141,-57.247
