Arp,RA,Dec,Score,Notes
0001-505,1.0488,-50.6465,3,
0001-505,1.1068,-50.6182,3,
0003-414,1.5852,-41.4966,4,
0036-660,9.5939,-65.7935,3,
0051-272,13.4912,-27.1456,3,
0052-321,13.7333,-32.0258,4,
0054-634,14.1723,-63.4763,3,
0112-554,18.5922,-55.404,4,
0136-433,24.7686,-43.3599,3,
0138-261,25.2704,-26.0243,3,
0147-271,27.3796,-27.0804,3,
0200-220,30.5842,-21.7646,3,
0219-390,35.3697,-38.8022,3,"ESO 298- G 033. HI ""dark"" galaxy (vr=2231 km/s so maybe not particularly close...)"
0226-320,37.0822,-31.8804,3,polar ring?
0314-242,49.0461,-24.1998,3,"UGCA 063, Vr=2087, HI obs"
0329-502,52.6779,-50.3071,3,
0333-611,53.5549,-61.1008,3,Vr=1176 km/s
0333-513,53.742,-51.4496,3,"ESO 200- G 045, Vr=1026, HI"
0338-375,55.0221,-37.7861,3,
0346-222,57.2531,-22.2399,3,
0347-442,57.3249,-44.2238,3,"ESO 249- G 021, Vr=1248, HI"
0433-654,68.4821,-65.7077,3,Vr=1234
0454-561,73.9274,-56.2407,3,"ESO 158- G 015, Vr=1777, has HI"
0507-630,76.9328,-62.9901,3,"ESO 085- G 047 , Vr=1445 in S4G, HI"
0507-222,77.4832,-22.2967,3,
0520-390,80.6633,-39.0688,3,
0537-292,84.8386,-29.3738,3,
0541-294,85.732,-29.7314,3,
0541-524,85.7717,-52.7088,3,"ESO 159- G 025, Vr=1100 in S4G"
0545-453,86.7994,-45.4886,3,
0609-473,92.631,-47.6736,3,
0630-522,97.7863,-52.4237,3,"ESO 206- G 016 , Vr=1191, HI"
0643-462,101.2617,-46.4485,3,
0804-765,120.8316,-77.0752,3,"ESO 035- G 020 , Vr=1753, HI, in NGC"
0949-264,147.8524,-27.0167,3,
1021-282,156.0658,-28.7306,3,
1116-290,169.7245,-29.4204,3,
1124-272,171.7189,-27.7053,3,polar ring?
1252-300,193.9079,-30.349,3,
