Arp,RA,Dec,Score,Notes
0012-235,3.7916,-23.7154,2,
0013-550,4.0026,-54.7888,2,
0015-550,4.5198,-54.8239,2,
0022-694,6.2217,-69.428,2,
0024-420,6.6339,-41.8599,2,
0044-243,11.7821,-24.3721,2,
0049-351,13.0806,-35.0401,2,
0049-351,13.0931,-35.0018,2,
0049-412,13.0742,-41.0634,2,
0051-473,13.3677,-47.3754,2,
0052-660,13.5757,-65.8557,2,
0053-242,13.882,-24.1593,2,
0058-311,15.1809,-30.9309,2,
0101-280,15.9426,-27.7502,2,
0112-312,18.629,-31.184,2,
0117-520,19.8673,-51.7793,2,
0126-525,22.0174,-52.6264,2,
0126-525,22.1167,-52.6332,2,
0140-280,25.7064,-27.8335,2,
0141-624,25.7796,-62.4688,2,
0144-474,26.6012,-47.4621,2,
0147-274,27.4617,-27.4673,2,
0148-271,27.7207,-27.0379,2,
0156-522,29.5397,-52.1155,2,
0156-672,29.4028,-67.1853,2,
0159-311,30.535,-31.0245,2,
0203-425,31.3574,-42.6849,2,
0204-284,31.6446,-28.5822,2,
0207-493,32.2186,-49.2805,2,
0219-343,35.3268,-34.3221,2,
0220-592,35.4411,-59.1526,2,
0236-310,39.6931,-30.8099,2,
0244-225,41.7217,-22.6446,2,
0247-713,42.0157,-71.4479,2,
0256-364,44.7285,-36.6113,2,
0338-551,54.835,-55.084,2,
0341-432,55.678,-43.2988,2,"ESO 249- G 015, Vr=1058"
0343-383,56.2613,-38.3827,2,
0355-593,59.1691,-59.3934,2,
0358-623,59.8726,-62.5098,2,
0404-275,61.7111,-27.8269,2,
0407-605,62.128,-60.8277,2,
0408-625,62.1895,-62.8014,2,
0411-584,63.0174,-58.5631,2,
0414-331,64.0401,-33.0621,2,"ESO 360- G 003 , Vr=2616"
0419-625,65.1174,-62.8741,2,
0420-440,65.5418,-43.9738,2,
0423-292,66.2521,-29.2317,2,
0426-424,66.9046,-42.6465,2,
0430-285,68.0524,-28.8581,2,
0438-481,70.0728,-48.1876,2,"ESO 202- G 049, no redshift"
0439-393,70.237,-39.4965,2,
0452-360,73.4929,-35.9248,2,
0517-324,79.8899,-32.6567,2,
0518-242,80.0536,-24.4057,2,
0521-385,80.7565,-38.8726,2,
0521-424,80.841,-42.7064,2,
0530-421,82.9152,-42.1697,2,
0532-341,83.6693,-34.1782,2,
0535-521,84.1088,-52.169,2,
0535-422,84.3291,-42.4099,2,
0542-532,85.8509,-53.3242,2,
0543-515,86.1603,-51.9723,2,"ESO 204- G 034, no redshift, in Hyperleda though."
0545-355,86.8441,-35.8219,2,
0602-303,91.0301,-30.5988,2,
0605-332,91.9481,-33.4883,2,
0611-345,93.2251,-34.9962,2,
0611-430,93.2631,-43.1782,2,ring but distant
0615-574,93.9716,-57.7304,2,
0722-684,110.481,-68.8358,2,
0735-694,113.7213,-69.7838,2,
0738-692,114.5577,-69.4808,2,
1010-263,153.2352,-26.8263,2,
1018-283,155.0881,-28.8736,2,
1023-291,156.423,-29.533,2,Dusty plume crossing galaxy is kinda cool...
1100-255,165.627,-26.1677,2,
1213-311,183.9013,-31.5629,2,
1218-343,185.2154,-34.7858,2,"ESO 380- G 017 , Vr=2602"
1230-272,188.3526,-27.6541,2,
1250-410,193.2326,-41.3748,2,Shift coords   
1250-220,193.3705,-22.3479,2,"ESO 575- G 019, Vr=3458"
1254-413,194.2209,-41.802,2,
1306-240,197.3273,-24.383,2,"UGCA 328, Vr=2872 in S4G, HIPASS"
1330-235,203.2182,-24.2032,2,
1333-285,204.1282,-29.2348,2,
1338-225,205.2615,-23.2209,2,
1341-265,206.0191,-27.231,2,
1347-363,207.6857,-36.7524,2,
1408-364,212.9282,-37.0147,2,
1416-270,214.8469,-27.3728,2,
1416-270,214.872,-27.3761,2,
1428-251,217.8875,-25.3892,2,
1438-330,220.4037,-33.3116,2,
1440-231,220.8687,-23.445,2,
1444-302,221.8579,-30.6469,2,
1452-234,223.7879,-23.9672,2,
1536-254,234.7631,-25.9755,2,
1639-772,251.7255,-77.4865,2,
1843-602,281.9292,-60.3501,2,
1932-655,294.4012,-65.811,2,
1935-703,295.1526,-70.4496,2,Part of previous. 
1935-703,295.156,-70.4313,2,Part of previous. 
1940-831,297.9297,-83.0971,2,
2005-282,302.1559,-28.2701,2,"ring, but low latitude and fairly far."
2010-215,303.3429,-21.8101,2,
2033-512,309.2487,-51.1689,2,
2033-545,309.3018,-54.6587,2,
2039-242,310.541,-24.212,2,
2041-505,311.3283,-50.7328,2,
2045-432,312.1413,-43.2797,2,
2046-513,312.5497,-51.32,2,
