Name,Arp,RA,Dec,Diam
,0000-551,0.6881,-55.0099,0.6
,0001-435,0.9503,-43.6182,0.7
,0001-505,1.1068,-50.6182,0.6
,0001-323,1.134,-32.2499,0.3
,0002-280,1.2633,-27.7416,0.3
,0002-305,1.3461,-30.5649,39.4
,0003-834,1.3977,-83.4099,0.6
,0003-473,1.4721,-47.3249,0.3
,0003-362,1.4948,-36.1366,4.0
,0003-402,1.5564,-40.2183,0.2
,0003-414,1.5852,-41.4966,1.0
,0003-540,1.6236,-53.8333,0.4
,0004-675,1.6251,-67.6266,0.1
,0004-420,1.722,-41.8416,0.5
,0004-500,1.7615,-49.8733,0.3
,0004-665,1.7577,-66.5549,3.1
,0004-413,1.7761,-41.3566,0.8
,0004-413,1.7844,-41.3583,1.5
,0004-220,1.792,-21.785,1.6
,0004-525,1.8144,-52.6183,1.1
,0004-374,1.8558,-37.4516,1.0
,0005-722,1.908,-72.1749,1.6
,0005-722,1.908,-72.1999,1.6
,0005-301,2.0899,-29.915,2.5
,0006-340,2.143,-33.86,2.5
,0006-311,2.1852,-31.0434,2.2
,0006-602,2.2947,-60.1083,1.1
,0007-571,2.491,-57.035,9.0
,0008-685,2.6694,-68.6701,0.2
,0008-324,2.862,-32.4151,1.8
,0009-371,2.902,-36.9385,0.6
,0009-273,2.9548,-27.3702,1.8
,0009-272,3.0588,-27.1952,2.3
,0009-621,3.0406,-62.0202,0.1
,0009-372,3.0763,-37.0819,0.3
,0009-840,2.9614,-83.8768,1.4
,0009-265,3.0922,-26.5935,0.2
,0009-620,3.0945,-61.7802,0.2
,0010-242,3.2634,-24.2136,1.2
,0010-265,3.3333,-26.5936,1.0
,0011-415,3.4064,-41.6053,1.7
,0011-415,3.4313,-41.5903,1.7
,0011-335,3.4513,-33.587,3.1
,0011-431,3.4971,-42.902,0.2
,0011-701,3.4894,-70.0203,1.9
,0011-620,3.5529,-61.7286,0.7
,0011-382,3.6113,-38.2087,3.1
,0012-603,3.6784,-60.332,2.2
,0012-242,3.7332,-24.0904,4.0
,0012-384,3.7606,-38.4854,0.7
,0012-235,3.7916,-23.7154,1.0
,0012-573,3.8141,-57.247,1.6
,0012-574,3.8304,-57.4554,0.2
,0012-422,3.8584,-42.1471,0.2
,0013-322,3.8797,-32.1821,1.8
,0013-424,3.8748,-42.3887,0.1
,0013-675,3.861,-67.5654,0.4
,0013-620,3.9493,-61.7287,0.9
,0013-550,4.0026,-54.7888,0.9
,0013-562,4.0014,-56.0804,2.7
,0013-272,4.0979,-27.1272,0.5
,0015-315,4.3826,-31.6206,0.5
,0015-324,4.3863,-32.5172,10.3
,0015-372,4.4794,-37.1689,0.2
,0015-550,4.5198,-54.8239,0.6
,0015-434,4.5503,-43.4323,0.2
,0015-450,4.5741,-44.864,1.1
,0016-674,4.5985,-67.3906,1.0
,0016-475,4.6342,-47.6556,0.6
,0016-361,4.6545,-35.9423,1.3
,0016-670,4.6288,-66.7806,0.4
,0016-310,4.678,-30.7323,3.4
,0016-231,4.769,-22.9357,17.9
,0016-395,4.7726,-39.6657,0.3
,0016-270,4.7922,-26.7457,3.8
,0016-614,4.7674,-61.3974,0.2
,0016-575,4.7853,-57.6457,1.7
,0016-694,4.8068,-69.454,0.2
,0016-373,4.8613,-37.2424,0.1
,0017-454,4.9634,-45.4591,0.7
,0017-772,5.0141,-77.0941,1.1
,0018-344,5.1536,-34.4709,0.4
,0018-640,5.2374,-63.8575,2.0
,0129-421,23.0389,-42.0482,0.4
