ID,Score,RA,Dec,Notes
Arp-Madore0001-505,2,1.0488,-50.6465,
Arp-Madore0001-505,3,1.1068,-50.6182,
Arp-Madore0003-414,3,1.5852,-41.4966,
Arp-Madore0036-660,3,9.5939,-65.7935,
Arp-Madore0051-272,3,13.4912,-27.1456,
Arp-Madore0052-321,3,13.7333,-32.0258,
Arp-Madore0054-634,4,14.1723,-63.4763,
Arp-Madore0112-554,4,18.5922,-55.404,
Arp-Madore0136-433,4,24.7686,-43.3599,
Arp-Madore0138-261,4,25.2704,-26.0243,
Arp-Madore0147-271,3,27.3796,-27.0804,
Arp-Madore0200-220,3,30.5842,-21.7646,
Arp-Madore0219-390,2,35.3697,-38.8022,
Arp-Madore0226-320,3,37.0822,-31.8804,
Arp-Madore0314-242,2,49.0461,-24.1998,
Arp-Madore0329-502,4,52.6779,-50.3071,
Arp-Madore0333-611,2,53.5549,-61.1008,
Arp-Madore0333-513,2,53.742,-51.4496,
Arp-Madore0338-375,4,55.0221,-37.7861,
Arp-Madore0346-222,4,57.2531,-22.2399,
Arp-Madore0347-442,2,57.3249,-44.2238,
Arp-Madore0433-654,2,68.4821,-65.7077,
Arp-Madore0454-561,3,73.9274,-56.2407,
Arp-Madore0507-630,3,76.9328,-62.9901,
Arp-Madore0507-222,3,77.4832,-22.2967,
Arp-Madore0520-390,3,80.6633,-39.0688,
Arp-Madore0537-292,3,84.8386,-29.3738,
Arp-Madore0541-294,4,85.732,-29.7314,
Arp-Madore0541-524,3,85.7717,-52.7088,
Arp-Madore0545-453,4,86.7994,-45.4886,
Arp-Madore0609-473,2,92.631,-47.6736,
Arp-Madore0630-522,3,97.7863,-52.4237,
Arp-Madore0630-522,2,97.7863,-52.4237,
Arp-Madore0643-462,4,101.2617,-46.4485,
Arp-Madore0804-765,2,120.8316,-77.0752,
Arp-Madore0949-264,4,147.8524,-27.0167,
Arp-Madore1021-282,3,156.0658,-28.7306,pretty small though.  Could cut if needed.
